# Ma'Maria product price list (catalogue) — source for scripts/seed-products.mjs
# Format: <name>|<price in MDL lei>. Blank lines and lines starting with # are ignored.
# "Snitel Vienez MM" intentionally appears twice with different prices — the
# products table has NO unique constraint on name.
Chec de ciocolata|12
Torta cu Ciocolata si Visina|16
Pesmeti cu STAFIDE|10
Mini placinta cu branza de vaci|6
Mini placinta cu varza|6
Sos Perfect|5
Jeleu Cioburi de sticla|15
Paste cu ciuperci MB|44
Fileu de pui copt in sos alb MB|57
Crenvusca in iuvca|20
Briosa cu lamie|14
Briosa cu vanilie|14
Biscuit cu CIOCOLATA|5
Biscuit RED VELVET|5
Clatite cu halva|12
Clatite cu ciocolata|12
Budinca din brinza|12
Cartofi PAI|16
Pirjoala pentru BURGER|0
Burger CLASSIC|37
Cartofi FELII|16
Ceai ALTHAUS|10
Biscuit cu brinzica|3
Salata din rosii si castraveti MM|28
Prajitura Ecler|17
Prajitura Tiramisu|22
Tort din vafe|19
Briosa cu Visina|15
Covrigi/pretzels|7
Cafea Americano ARABICA|12
Ciocolata fierbinte|16
Supa cu legume MM|35
Supa cu legume MB|44
Snitel din piept de pui MB|72
Bulion de crabi|0
Cartofi_Bratkartoffeln|18
Aripioare picante|27
Prajitura din pandispan cu NUCA|19
Prajitura Pavlova|18
Prajitura Brownie cu MM's|22
Sandwich cu carne de pui MM 2|30
Sandwich cu carne de porc afumat MM|30
Sandwich Triunghi cu carne de pui MM|30
Cartofi copti cu usturoi|18
Prajitura din pandispan cu VISINA|19
Cheese cake|18
Cafea Capucino ARABICA|14
Cafea Latte ROBUSTA|12
Cafea Latte ARABICA|14
Supa cu crab albastru|25
Placinta cu carne de pui (P)|18
Tort Napoleon|20
Ceai cu COACAZA MM|16
Cafea Capucino ROBUSTA|12
Cafea Americano ROBUSTA|10
Canape cu creveti|20.5
Gustare cu carne de pui si becon|18.5
Mini sandwich cu file afumat|15.5
Ciakapuli din carne de vita|37
Ceai|8
BERE, fara alcool|22
Sandwich cu cotlet de porc afumat MM|30
Sandwich cu piept de pui afumat MM|30
Paine alba cebata cu seminte|12
Burger UFO MM|40
Chefir la pahar 2.5%|6
Liulea kebab|32
Supa cu pelmeni (Дюшбара)|22
Cartofi cu carne vita cu naut (Бозбаш)|25
Ciorba cu perisoare|17
Supa cu fidea/taietei de casa|20
Supa cu legume|21
Supa cu mazare|18
Supa de peste scrum|21
Cartofi copti in sos alb|20
Cartofi cu varza|18
Cartofi fierti cu marar (P)|21
Cartofi fierti cu pastari (P)|21
Cartofi in sos alb cu ciuperci|21
Cartofi scazuti cu carne de purcel|25
Cartofi scazuti cu legume (P)|19
Cartofi scazuti cu varza|18
Cartofi scazuti in sos alb|19
Coltunasi cu cartofi|22
Fasole in sos|18
Fidea de casa|19
Hrisca cu ciuperci|21
Legume la cuptor|23
Mamaliga in straturi cu carne|17
Orez cu varza|18
Paste cu sos alb|19
Piure de cartofi (P)|16
Tocanita din cartofi cu smintina|21
Ursulet din mamaliga|18
Aripioare de pui la cuptor|26
Biftec Delicios|29
Biftec din pui/porc cu cascaval|25
Biftec din pui/porc cu ou|25
Chiftelute de pui in sos alb|22
Chiftelute de pui in sos rosu|22
Cirnaciori Deliciosi|25
Cirnaciori de casa|25
Costita de porc prajita|35
Crenvursti fierti|25
Crenvursti prajiti|25
File de mintai panat|30
Mici de casa|27
Mici din carne de vita/porc|27
Mintai la cuptor|24
Papanasi de pui|28
Papanasi de pui cu castraveti|28
Pipote de pui cu legume|22
Pipote de pui in sos alb|22
Pulpa de pui la rola|28
Safalade de casa|25
Tocanita din carne de purcel|35
Zraza din carne de pui|25
Zraza din carne de pui si porc cu ciuperci|26
Ardei marinati|18
Branza cu smantina|16
Icra de vinete|15
Pepene rosu marinat|16
Racitura de pui|24
Salata Iceberg|18
Salata Spaniola|14
Salata Vitamin|14
Salata Vitamin cu varza rosie|17
Salata cu piept de pui afumat|18
Salata din crabi si morcov coreian|18
Salata din piept de pui|20
Salata din varza cu legume|14
Salata limba soacrei|16
Sampinioane marinate|18
Paine cu cereale|14
Pilaf azer cu carne vita|24
Cotlet copt din carne de porc cu costita (T-bone)|39
Sarmale cu frunza de vie (Долма)|30
Paine impletita|12
Sold de pui in sos de rosii (Чыхыртма)|28
Colac|8
Salata din crabi si legume|18
Mimoza cu peste|17
Prajitura Inghetata|25
Muffin cu ciocolata|12
Paine cu seminte de casa|3
Conopida marinata|16
File de pui AFUMAT|826.45
Legume sotate MB|44
Frigarui din carne de pui MM|74
Prajitura Choco-cake|29.5
Frigarui din carne de purcel MM|78
Prajitura Ecler-snickers|23.5
Prajitura Tartalete cu visina|16.5
Piept de purcel afumat|32
Pulpa de pui afumata|28
Zeama cu taietei de casa|21
Paine cu tarita de casa 7|3
Paine alba de casa 8|3
Paine cu tarita de casa 8|3
Chiftelute de vita/porc in sos rosu|35
Chiftelute de vita/porc in sos alb|35
Mustar|7
Biftec din vita/porc cu ou|32
Biftec din vita/porc cu cascaval|32
Chiftelute de pui/porc in sos rosu|26
Chiftelute de pui/porc in sos alb|26
Pirjoala din carne de pui MM|28
Pirjoala din carne de pui|28
Pirjoala din carne de pui/porc|28
Pirjoala din carne de vita/porc|28
Hrisca cu legume|15
Tocatura porc/vita pentru mici MM|120
Soleanca|24
Mamaliga|14
Cartofi copti cu ciuperci|24
Cartofi copti cu file afumat|23
Paste cu ciuperci|25
Terci din arpacas|16
Terci din griu|16
Terci din hrisca|16
Hec cu legume|28
Salata din ridichie rosie cu ou|18
Piftie (racitura) din carne de porc|26
Salata din fructe|24
Salata din sampinioane|18
Prajitura Napoleon|25
Fasole cu carne afumata|26
Piure din mazare|16
Ceai cu MERISOARE MM|16
Biftec din vita/porc cu cascaval Hochland|32
Tocatura pui pentru cirnateii MM kg|125
Peste cu legume|34
Rulada de pui cu bacon|36
Orez cu ciuperci|22
Salata din varza murata|18
